lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
Edición de: Mercedes F. Durán-Cogan. Edición de: Antonio Gómez-Moriana.,210150,National identities and sociopolitical changes in Latin America,2001,Routledge,,,,,,Hispanic Issues; 23,Nueva York,EUA,Inglés,Crítica y estudios sobre géneros varios,
Traducción al portugués de: Nuno Júdice.,210638,Escreve-me nos olhos,2015,Casa da América Latina,,,,,,Cuadernos de Poesía,X,Portugal,Portugués,Poesía,
Traducción al francés de : Françoise Roy.,210894,Adaimer/Adamar [edición bilingüe],2008,Mantis Editores,Écrits des Forges,,,,,,Trois Rivières,Canadá,Francés,Poesía,
Traducción al portugués de: Waldyr Dupont.,211109,A dupla chama: amor e erotismo,1994,Siciliano,,,,,,,São Paulo,Brasil,Portugués,Ensayo,
Traducción al portugués de: Paulina Wacht.,211151,O arco e a lira,2012,Cosac Naify,,,,,,,São Paulo,Brasil,Portugués,Poesía,
Traducción al portugués de: Eric Nepomuceno.,211153,Chão em chamas,2015,Best Bolso,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Cuento
Traducción al portugués de: Eric Nepomuceno.,211155,Pedro Páramo,2009,Best Bolso,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
Ilustraciones de: Gabriel Macotela. Ilustraciones de: Onix Rubio. Ilustraciones de: Christa Clincwort. Ilustraciones de: Eugen Walsh. Ilustraciones de: Santiago Rebolledo.,211187,José Juan Tablada para niños = José Juan Tablada tiiri wahetsie mieme,2001,Consejo Nacional para la Cultura y las Artes,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,D.F.,México,huichol,,
Traducción al Maya-Yucateco de: María Luisa Góngora. Ilustración de: Soledad Velasco.,211190,El árbol de durazno = U kuul duraasnoo,1996,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,,D.F.,México,maya,Narrativa,Cuento
Traducción al Mixteco de: Juvenal López. Ilustraciones de: Carlos Pellicer López.,211193,El hornero = Ra cha´mi ndo´o,2001,Consejo Nacional para la Cultura y las Artes,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,D.F.,México,mixteco,Narrativa,Cuento
Traducción al Tsotsil de: Enrique Pérez López. Ilustración de: Iñaki Garido.,211196,Cómo fue que hubo tantos coyotes = K'uxi ba epajuk ti ok'iletike,1996,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,,D.F.,México,tsotsil,Narrativa,
Traducción al chol de: Domingo Meneses Méndez. Ilustraciones de: Lourdes Jiménez.,211200,Amado Nervo para niños = Amado Nervo cha'añ alob,2001,Consejo Nacional para la Cultura y las Artes,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,D.F.,México,chol,Narrativa,Cuento
Traducción al Tének de: María Clementina Esteban M.. Ilustraciones de: Rubén Arenas.,211202,La pobre viejecita = An tsakam uxkwe´láb ; El renacuajo paseador = An belelma´ t´imk´wa´,2001,Consejo Nacional para la Cultura y las Artes,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,D.F.,México,huasteco,Narrativa,Cuento
Traducción al Otomí de: Serafín Bermúdez. Ilustraciones de: Patricia Tuirán.,211205,Sor Juana Inés de la Cruz para niños = 'Behñä Juana nes Pont´i pa ya tsi bähtsi,20001,Consejo Nacional para la Cultura y las Artes,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,D.F.,México,otomí,Narrativa,Cuento
Traducción al náhuatl de: José Flores Xochimic. Ilustración de: Santiago Rebolledo.,211207,Una sonrisa de aljófar = Ixhuetzquiliz in eptayol-pizilli,1996,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,,,,náhuatl,Narrativa,Cuento
Traducción al purépecha de: Gilberto Gerónimo. Ilustración de: Rafael Charco.,211212,El zoológico ilógico = Isïku jási tsípkua jatakua,1996,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,,D.F.,México,purépecha,Narrativa,Cuento
Traducción al mazahua de: Fausto Guadarrama López. Ilustraciones de: Roberto Rébora.,211213,William Blake para niños = William Blake yo tsja ts´itrr´i,2001,Consejo Nacional para la Cultura y las Artes,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,D.F.,México,mazahua,Narrativa,Cuento
Traducción al sueco: Eugen Alban.,211671,Dödsskeppet: en amerikansk sjömans historia,1929,Axel Holmströms Förlag,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al holandés de: Gerh Rijnders.,211772,Maar een Zeeman!,0,,,,,,,,Zandvoort,Holanda,Holandés,Narrativa,Novela
"Compilación, nota inicial e introducción de: Elisa Ramírez Castañeda.",211803,Mitos,2014,Pluralia,,,,,,Tradición oral indígena de México; 1,D.F.,México,tseltal,Narrativa,Cuento
Traducción y prólogo de: Katherine Anne Porter.,211977,The Itching Parrot,1942,Country Life Press,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Charles Wright. Traducción al hñähñú (otomí del Valle del Mezquital) de: Raymundo Isidro Alavez. Ilustraciones de: José Luis Romo Martín.,211979,Ndada Hongahogam'ui pa ya bätsi = Don Quijote para los niños = Don Quixote for children,2015,Consejo Nacional para la Cultura y las Artes,Universidad de Guanajuato,Instituto Queretano de la Cultura y las Artes,Fundación Cervantina Eulalio Ferrer,Museo Iconográfico del Quijote,Centro de Estudios Cervantinos,,Guanajuato,México,ñänhú (otomí del Valle del Mezquital),Narrativa,Novela
Traducción de: David Frye.,211980,The Mangy Parrot,2004,Hackett Publishing Company,,,,,,,Indianapolis,EUA,Inglés,Narrativa,Novela
Traducción al hñähñú (otomí del Valle del Mezquital) de: Raymundo Isidro Alavez. Traducción al Maya-Yucateco de: Cessia Chuc. Traducción al purépecha de: Guadalupe Hernández Dimas.,211993,Paisaje de ecos,2015,Artes de México,,,,,,,D.F.,México,ñänhú (otomí del Valle del Mezquital),Poesía,
Traducción al náhuatl de: Gilberto Díaz Hernández. Traducción al zapoteco de: Filemón Beltrán Morales.,211997,Paisaje de ecos I,2015,Artes de México,,,,,,,D.F.,México,totonaco,Títulos de géneros varios,
,212302,Slajibal ajawetik = Los últimos dioses,2012,Consejo Nacional para la Cultura y las Artes,,,,,,El Guardagujas,D.F.,México,tseltal,Narrativa,Cuento
,212312,T'ambilák men tunk' ulilo' ob = El llamado de los tunk' ules,2011,Consejo Nacional para la Cultura y las Artes,,,,,,El Guardagujas,D.F.,México,maya,Narrativa,Novela
Traducción al alemán de: Susanne Lange.,212342,Abgesang des Königs,2011,Fischer,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Nora Haller.,212343,Die Verbrannten,2015,Kunstmann,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Carsten Regling.,212344,Quesadillas,2014,Berenberg,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Prólogo de: Marco Aurelio Larios . Epílogo de: Marco Antonio Campos. Traducción al alemán de: Georg Oswald.,212393,Der Jahrmarkt,2010,Septime,,,,,,,Viena,Austria,Alemán,Narrativa,Novela
Traducción al alemán de: Kirstin Bleiel. Traducción al alemán de: Catalina Rojas Hauser.,212397,Zeit der Asche,2009,Klett-Cotta,,,,,,,Stuttgart,Alemania,Alemán,Narrativa,Novela
,212398,Kunststücke,2014,Rowohlt,,,,,,,Reinbek,Alemania,Alemán,Narrativa,Novela
,212399,Das Schwarze Schaf und andere Fabeln,2011,Insel,,,,,,,Berlín,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Carsten Regling.,212400,Fiesta in der Räuberhöhle,2011,Berenberg,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
,212413,Erinnerung an die Toten,2007,Unionsverlag,,,,,,,Zürich,,Alemán,Narrativa,Novela
,212414,Der Schönheitssalon,2011,Frankfurter Verlagsanstalt,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
,212416,Der Blinde Dichter,2002,Frankfurter Verlagsanstalt,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Christian Hansen.,212417,Als Kind,2003,Goldmann,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Susanne Lange.,212424,Das dritte Leben,2016,Hanser,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Stephan Nowotnick. Traducción al alemán de: Alberto Pérez Amador Adam.,212425,Der Traum,1992,Neue Kritik,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Peter Schwaar.,212428,Abendstunden in der Provinz,1999,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Peter Schwaar.,212430,Augustblitze,1992,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Petra Strien-Bourmer .,212432,Die Tugend der Frauen von Comitan,1998,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Merle Godde.,212472,Der Irrtum des Mondes,1998,Ullstein,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Christiane Rasche.,212473,Der Kazike,1991,Fischer,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Georg Oswald.,212474,Krieg im Paradies,1998,Assoziation A,,,,,,,Hamburgo,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Erna Pfeiffer.,212476,"Sie sind Kühe, wir sind Schweine",2000,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Dagmar Ploetz.,212477,Die Geschichte meiner Zähne,2016,Kunstmann,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Susanne Lange.,212479,"Der König, die Sonne, der Tod : mexikanische Trilogie",2014,Fischer,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Matthias Strobel.,212530,Silber,2010,Suhrkamp Verlag,,,,,,suhrkamp taschenbuch,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Svenja Becker.,212531,Gesammelte Werke (und andere Geschichten),2016,Insel,,,,,,Insel-Bücherei,Berlín,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Susanna Mende.,212584,Der süße Duft des Todes,2011,Unionsverlag,,,,,,,Zúrich,Suiza,Alemán,Narrativa,Novela
Traducción al alemán de: Bernhard Straub.,212585,Der Mathematiker,1996,Horlemann,,,,,,,,,Alemán,Narrativa,Novela
Traducción al alemán de: Petra Strien-Bourmer .,212586,Das Leben ist ein Bolero,2000,Aufbau,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Petra Strien-Bourmer .,212588,Das zärtliche Alphabet des Don Júbilo,2004,Lübbe,,,,,,,Bergisch Gladbach,Alemania,Alemán,Narrativa,Novela
,212589,A Question of Noses,1974,Rice University,,,,,,,Houston,EUA,Inglés,Dramaturgia,
Traducción al alemán de: Konrad Schrögendorfer.,212590,Erinnerungen an die Zukunft,2003,Wagenbach,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Introducción y traducción de: Josep María Poblet.,212591,Qüestió de nassos,1973,Portic,,,,,,Llibre de Butxaca,Barcelona,España,Catalán,Dramaturgia,
Traducción al alemán de: Verena Kilchling.,212592,Schwarze Küsse,2009,Kein &amp; Aber,,,,,,,Zúrich,Suiza,Alemán,Narrativa,Novela
Traducción al alemán de: Werner Benndorf. Traducción al alemán de: Wilhelm Pferdekamp.,212594,Mein General!,1941,Esche Verlag,,,,,,,Leipzig,Alemania,Alemán,Narrativa,Novela
Traducción y prólogo de: Jan Makarius.,212595,"Como dos palomos, como dos tórtolos",1971,Agencia teatral y literaria Dilia,,,,,,,Praga,República Checa,Checo,Dramaturgia,
Traducción de: Sharon Magnarelli.,212596,Francis of Assisi,1993,Albertus Magnus College,,,,,,,New Haven,EUA,Inglés,Dramaturgia,
,212597,El Indio,1938,Esche Verlag,,,,,,,Leipzig,Alemania,Alemán,Narrativa,Novela
,212598,The Last Letter,1972,University of Massachusetts,,,,,,,Amherst,EUA,Inglés,Dramaturgia,
Traducción al alemán de: Georg Helmut Neuendorff.,212599,Vorwärts mit Pancho Villa!,1935,Hans Müller,,,,,,,Leipzig,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Leopold Federmair. Traducción al alemán de: Alejandra Rogel Alberdi.,212602,Kämpfe in der Wüste,1995,Residenz,,,,,,,Salzburg,Austria,Alemán,Narrativa,Cuento
Traducción al alemán de: Hans Leopold Davi. Traducción al alemán de: Silvia Davi.,212603,Juan Pérez Jolote - Tzotzil: Der Lebensbericht eines mexikanischen Indios,1995,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,
Traducción al alemán de: Gisbert Haefs.,212640,Die Flüsse der Vergangenheit,2000,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Willi Zurbrüggen.,212643,Endstation Tula,1998,Krüger,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción de: Edward Huberman.,212648,Nothing Like the Sixteenth Floor,1978,State University of New York at Binghamton,,,,,,Modern International Drama,Nueva York,EUA,Inglés,Dramaturgia,
Traducción de: Edward Huberman.,212649,Time’s Soliloquy,1973,Carnegie Mellon University,,,,,,,Pennsylvania,EUA,Inglés,Dramaturgia,
,212652,A Mad Day,1972,Carnegie Mellon University,,,,,,,Pennsylvania,EUA,Inglés,Dramaturgia,
Traducción de: Edward Huberman.,212653,A Happy Country,1975,Latin American Literary Review Press,,,,,,,Pennsylvania,EUA,Inglés,Dramaturgia,
Prólogo de: Hermann Bonnin. Traducción de: Enric Cervera.,212655,"Una dona, dos homes i un tret",1999,Associació d ‘actors i directors professionals de catalunya,,,,,,,Cataluña,España,Catalán,Dramaturgia,
Traducción al alemán de: Annette von Schönfeld.,212685,Vier Hände,2004,Unionsverlag,,,,,,,Zürich,,Alemán,Narrativa,Novela
Traducción al alemán de: Angélica Ammar.,212686,Königin und Kojoten,2014,Wagenbach,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Juana Burghardt. Traducción al alemán de: Tobias Burghardt.,212687,Welteln,2010,Delta,,,,,,,Stuttgart,Alemania,Alemán,Poesía,
Traducción de: Edward Huberman. Revisión y preparación de la edición de: Sharon Magnarelli.,212696,"A Contemporary Mexican Mystery Play : The Life of Saint Jerome, A Voice in the Wilderness",2006,The Edwin Mellen press,,,,,,,Nueva York,EUA,Inglés,Dramaturgia,
Traducción al alemán de: Leopold Federmair. Traducción al alemán de: Alejandra Rogel Alberdi.,212706,Der Tod in der Ferne,1992,Residenz,,,,,,,Salzburg,Austria,Alemán,Narrativa,Novela
Introducción de: Cees Nooteboom. Traducción al español de: Christina MacSweeney.,212861,Sidewalks,2014,Coffee House,,,,,,,X,EUA,Inglés,Ensayo,
Traducción al español de: Jacob Steinberg.,212864,Jacob the Mutant,2015,Phoneme Media,,,,,,,Los Angeles,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Alfred MacAdam.,212866,Season of Ash,2009,Open Letter,,,,,,,Rochester,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Lisa Dillman.,212871,Signs Preceding the End of the World,2015,And Other Stories,,,,,,,Buckinghamshire,Inglaterra,Inglés,Narrativa,Novela
Traducción al alemán de: Angelika Steiner.,212873,"Ich will so sein, wie ich mal sein werde",2001,Everest,,,,,,Punto de Encuentro,,,Alemán,Narrativa,
Traducción al inglés de: J. T. Lichenstein.,212904,Natural Histories,2014,Seven Stories,,,,,,,Nueva York,EUA,Inglés,Narrativa,Cuento
Traducción al inglés de: J. T. Lichenstein.,213054,The Body Where I was Born,2015,Seven Stories,,,,,,,,,Inglés,Narrativa,Novela
Traducción al inglés de: Christina MacSweeney.,213055,The Story of My Teeth,2015,Coffee House,,,,,,,Minneapolis,EUA,Inglés,Narrativa,Novela
Selección y prólogo de: Karl Berglund.,213092,10 kärleksdikter av Nobelpristagare = 10 love poems,2010,Nobelmuseet,,,,,,,Estocolmo,Suecia,Sueco,Poesía,
Traducción al sueco de: Lars Axelsson. Traducción al sueco de: Margareta Marin.,213102,Slätten i lågor,1984,Nordan,,,,,,Latinoamericana XX-biblioteket,Estocolmo,Suecia,Sueco,Narrativa,Cuento
Traducción al sueco de: Karin Alin.,213103,Pedro Páramo,2005,Lind &amp; Co,,,,,,Nittonhundra; 13,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al sueco de: Inger Fahlander.,213106,"Tag mitt hjärta, tag mitt liv",1991,Forum,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al portugués de: Helena Pitta.,213141,Adão no Éden,2012,Porto Editora,,,,,,Grandes Autores,Oporto,Portugal,Portugués,Narrativa,Novela
Traducción al portugués de: Helena Pitta.,213141,Adão no Éden,2012,Porto Editora,,,,,,Grandes Autores,Oporto,Portugal,Portugués,Narrativa,Novela
Traducción al portugués de: Carlos Nougué.,213143,Diana ou a Caçadora Solitária,1995,Dom Quixote,,,,,,Ficção Universal,Alfragide,Portugal,Portugués,Narrativa,Novela
Traducción al portugués de: Carlos Nougué.,213143,Diana ou a Caçadora Solitária,1995,Dom Quixote,,,,,,Ficção Universal,Alfragide,Portugal,Portugués,Narrativa,Novela
Traducción al portugués de: María do Carmo Abreu.,213170,A campanha,1993,Dom Quixote,,,,,,Ficção Universal,Lisboa,Portugal,Portugués,Narrativa,Novela
Traducción al portugués de: Helena Pitta.,213171,Contos Naturais,2012,Porto Editora,,,,,,,Oporto,Portugal,Portugués,Narrativa,Cuento
Traducción al portugués de: Mauro Gama.,213172,A fronteira de cristal,1995,Rocco,,,,,,,X,Brasil,Portugués,Narrativa,Novela
Traducción al portugués de: Carlos Nougué.,213174,A Laranjeira,0,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Cuento
Traducción al portugués de: Carlos Nougué.,213174,A Laranjeira,0,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Cuento
Traducción al finés de: Sanna Pernu.,213177,"Ota elämäni, vie sydämeni",1997,Tammi,,,,,,,Helsinki,Finlandia,Finés,Narrativa,Novela
Traducción al sueco de: Irmgard Pingel. Traducción al sueco de: Lasse Söderberg.,213178,Ensamhetens labyrint,1984,Bromberg,,,,,,,Estocolmo,Suecia,Sueco,Ensayo,
Traducción al sueco de: Artur Lundkvist.,213179,Den våldsamma årstiden,1990,FIB:s lyrikklubb,,,,,,FIB:s lyrikklubbs bibliotek,Estocolmo,Suecia,Sueco,Poesía,
Traducción al sueco de: Martin Allwood.,213180,Indiska dikter,1987,Persona Press,,,,,,Världens poesi,Mullsjö,Suecia,Sueco,Ensayo,
Traducción al portugués de: Marcos Arzua.,213183,A Cadeira da Águia,2003,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
Traducción al portugués de: Carlos Nougué.,213185,A vontade e a fortuna,2008,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
Traducción al portugués de: Ebréia De Castro Alves.,213187,Contra Bush,2005,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Ensayo,
Traducción al portugués de: Carlos Nougué.,213188,Federico em sua sacada,2013,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
Traducción al portugués de: Ebréia De Castro Alves.,213190,"Em 68: Paris, Praga e México",2005,Rocco,,,,,,,X,Brasil,Portugués,Ensayo,
Traducción al portugués de: Sergio Flaksman.,213193,Eu e os Outros: Ensaios escolhidos,0,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Ensayo,
Traducción al portugués de: Carlos Nougué.,213195,Geografia do romance,1993,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Crítica y estudios sobre géneros varios,
,213197,Les secrets de l'aïeul,2007,Réciproques,,,,,,,Montauban,Francia,Francés,Narrativa,Cuento
Traducción al finés de: Anu Partanen.,213200,Rakkauden tuska,2000,Tammi,,,,,,,Helsinki,Finlandia,Finés,Narrativa,Novela
Traducción al finés de: Tarja Roinila.,213202,Tasanko liekeissä,1998,Like,,,,,,Klassikkosarja,Helsinki,Finlandia,Finés,Narrativa,Cuento
